atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Partículas;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BC;t;0.00
2022;Partículas;6,0;Uso de disolventes y otros productos;BC;t;109.69
2022;Partículas;7,0;Transporte por carretera;BC;t;418.52
2022;Partículas;8,0;Otros modos de transporte y maquinaria móvil;BC;t;172.31
2022;Partículas;9,0;Tratamiento y eliminación de residuos;BC;t;81.08
2022;Partículas;10,0;Agricultura;BC;t;0.00
2022;Partículas;11,0;Otras fuentes y sumideros (naturaleza);BC;t;13.66
2022;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HCB;kg;0.01
2022;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HCB;kg;0.03
2022;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HCB;kg;0.03
2022;Contaminantes orgánicos persistentes;10,0;Agricultura;HCB;kg;0.00
2022;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HCB;kg;0.00
